year,state,paid_holders,resident_licenses,nonresident_licenses,gross_cost,resident_cost,nonresident_cost,fips,pop,council_id,council_name
2021,Guam,0.0,0.0,0.0,,,,66,,8,Western Pacific
2021,Hawaii,4437.0,3815.0,885.0,26988.0,17601.0,9387.0,15,,8,Western Pacific
2021,Idaho,510593.0,764818.0,275757.0,16585812.0,8850154.0,7735658.0,16,,0,No Council
2021,Illinois,601949.0,654338.0,49940.0,9211360.0,7912739.0,1298621.0,17,,0,No Council
2021,Indiana,486240.0,375136.0,54456.0,8046820.0,6616533.0,1430287.0,18,,0,No Council
2021,Iowa,336333.0,315814.0,52444.0,8713433.0,7207986.0,1505448.0,19,,0,No Council
2021,Kansas,268599.0,214763.0,35776.0,6922220.0,5689180.0,1233041.0,20,,0,No Council
2021,Kentucky,513227.0,462422.0,86722.0,11302617.0,8569491.0,2733127.0,21,,0,No Council
2021,Louisiana,753954.0,708672.0,268759.0,12988062.0,7666041.0,5322021.0,22,,4,Gulf of Mexico
2021,Maine,335955.0,185310.0,83154.0,9300369.0,5613132.0,3687237.0,23,,1,New England
2021,Maryland,264757.0,318349.0,83389.0,9108526.0,6829510.0,2279017.0,24,,2,Mid-Atlantic
2021,Massachusetts,169435.0,347947.0,30868.0,5215588.0,4622367.0,593220.0,25,,1,New England
2021,Michigan,1083093.0,895723.0,239271.0,31997159.0,23023244.0,8973915.0,26,,0,No Council
2021,Minnesota,1417788.0,1238367.0,340439.0,41481947.0,28310456.0,13171491.0,27,,0,No Council
2021,Mississippi,308438.0,310165.0,60760.0,6325661.0,4621668.0,1703993.0,28,,4,Gulf of Mexico
2021,Missouri,734204.0,1073416.0,171911.0,14104582.0,10019525.0,4085057.0,29,,0,No Council
2021,Montana,418642.0,713947.0,590751.0,23574169.0,6829740.0,16744428.0,30,,0,No Council
2021,Commonwealth of the Northern Mariana Islands,177.0,176.0,1.0,2125.0,2040.0,85.0,69,,8,Western Pacific
2021,Nebraska,223481.0,310194.0,70695.0,8181157.0,6854778.0,1326379.0,31,,0,No Council
2021,Nevada,140085.0,107187.0,42648.0,5141395.0,3237599.0,1903796.0,32,,0,No Council
2021,New Hampshire,156481.0,125050.0,53688.0,7038459.0,4688990.0,2349469.0,33,,1,New England
2021,New Jersey,158834.0,236908.0,23730.0,5246002.0,4554411.0,691590.0,34,,2,Mid-Atlantic
2021,New Mexico,225766.0,465486.0,189516.0,7362444.0,4904181.0,2458263.0,35,,0,No Council
2021,New York,882451.0,1030788.0,178633.0,23513515.0,17579881.0,5933634.0,36,,2,Mid-Atlantic
2021,North Carolina,1384372.0,683497.0,234964.0,25222671.0,19924806.0,5297865.0,37,,2,Mid-Atlantic
2021,North Dakota,207806.0,150342.0,63226.0,4575347.0,2199462.0,2375885.0,38,,0,No Council
2021,Ohio,804777.0,726933.0,108052.0,17397929.0,14453910.0,2944019.0,39,,0,No Council
2021,Oklahoma,709093.0,545589.0,68058.0,10518976.0,7815184.0,2703792.0,40,,0,No Council
2021,Oregon,627029.0,724036.0,141838.0,30189582.0,23620352.0,6569229.0,41,,5,Pacific
2021,Pennsylvania,995241.0,1238562.0,121440.0,27170937.0,23135272.0,4035665.0,42,,2,Mid-Atlantic
2021,Puerto Rico,0.0,0.0,0.0,,,,72,,7,Caribbean
